# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 10000 --out data/m4/ne_cache.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 10000
# count 1048
# A B N eps
7 -15 29788 1
7 -14 106624 -1
7 -13 94960 -1
7 -12 42080 -1
7 -11 18556 -1
7 -10 65152 -1
7 -9 56944 -1
7 -8 4960 -1
7 -7 10780 -1
7 -6 37504 -1
7 -5 32752 -1
7 -4 14432 -1
7 -3 6460 1
7 -2 23680 -1
7 -1 22384 -1
7 0 1568 1
7 1 5596 1
7 2 23680 1
7 3 25840 -1
7 4 14432 -1
7 5 8188 1
7 6 37504 1
7 7 43120 1
7 8 4960 1
7 9 14236 1
7 10 65152 1
7 11 74224 1
7 12 42080 -1
7 13 23740 1
7 14 106624 1
7 15 119152 -1
7 16 66272 1
7 17 7340 -1
7 18 161920 -1
7 19 177904 -1
8 -19 47180 -1
8 -18 172736 1
8 -17 157616 -1
8 -16 1120 1
8 -15 32492 1
8 -14 117440 -1
8 -13 105776 -1
8 -12 1484 1
8 -11 21260 1
8 -10 75968 -1
8 -9 6160 -1
8 -8 3776 1
8 -7 13484 1
8 -6 48320 1
8 -5 43568 -1
8 -4 2480 1
8 -3 9164 1
8 -2 4928 -1
8 -1 6640 1
8 0 256 -1
8 1 1660 -1
8 2 4928 1
8 3 36656 -1
8 4 620 -1
8 5 10892 1
8 6 48320 1
8 7 53936 -1
8 8 3776 1
8 9 1540 -1
8 10 75968 -1
8 11 85040 -1
8 12 5936 -1
8 13 26444 1
8 14 117440 -1
8 15 129968 -1
8 16 1120 -1
8 17 39404 1
8 18 172736 1
8 19 188720 1
9 -19 67536 -1
9 -18 324 1
9 -17 28584 -1
9 -16 157248 -1
9 -15 143856 -1
9 -14 8208 -1
9 -13 59832 1
9 -12 108864 -1
9 -11 98928 1
9 -10 1872 -1
9 -9 4536 -1
9 -8 24768 -1
9 -7 67824 1
9 -6 1944 -1
9 -5 28728 -1
9 -4 53568 -1
9 -3 50544 -1
9 -2 756 1
9 -1 7848 1
9 0 576 -1
9 1 15696 -1
9 2 3024 1
9 3 25272 1
9 4 53568 -1
9 5 57456 1
9 6 3888 -1
9 7 33912 1
9 8 24768 1
9 9 9072 -1
9 10 936 -1
9 11 49464 -1
9 12 108864 -1
9 13 119664 -1
9 14 2052 -1
9 15 71928 -1
9 16 157248 -1
9 17 57168 1
9 18 1296 1
9 19 33768 -1
10 -19 109976 -1
10 -18 203968 -1
10 -17 188848 1
10 -16 87296 -1
10 -15 80600 1
10 -14 148672 1
10 -13 137008 -1
10 -12 63104 -1
10 -11 4472 -1
10 -10 107200 1
10 -9 98992 1
10 -8 45824 -1
10 -7 42584 -1
10 -6 79552 -1
10 -5 74800 -1
10 -4 35456 -1
10 -3 33944 -1
10 -2 65728 1
10 -1 64432 -1
10 0 6400 1
10 1 32216 1
10 2 65728 -1
10 3 67888 -1
10 4 35456 -1
10 5 37400 -1
10 6 79552 1
10 7 85168 1
10 8 45824 -1
10 9 49496 -1
10 10 107200 -1
10 11 8944 -1
10 12 63104 -1
10 13 68504 -1
10 14 148672 -1
10 15 161200 -1
10 16 87296 -1
10 17 94424 -1
10 18 203968 1
10 19 219952 -1
11 -19 60284 1
11 -18 225152 1
11 -17 210032 -1
11 -16 97888 -1
11 -15 45596 1
11 -14 169856 -1
11 -13 158192 -1
11 -12 10528 -1
11 -11 34364 1
11 -10 128384 -1
11 -9 120176 1
11 -8 56416 1
11 -7 1564 1
11 -6 100736 1
11 -5 95984 -1
11 -4 46048 1
11 -3 22268 -1
11 -2 86912 -1
11 -1 85616 1
11 0 3872 1
11 1 21404 -1
11 2 86912 1
11 3 89072 1
11 4 46048 1
11 5 23996 1
11 6 100736 -1
11 7 6256 -1
11 8 56416 -1
11 9 30044 -1
11 10 128384 1
11 11 137456 -1
11 12 10528 1
11 13 39548 1
11 14 169856 1
11 15 182384 -1
11 16 97888 1
11 17 52508 1
11 18 225152 -1
11 19 241136 -1
12 -19 66636 -1
12 -18 83520 1
12 -17 235440 -1
12 -16 3456 -1
12 -15 51948 1
12 -14 65088 -1
12 -13 12240 1
12 -12 1080 -1
12 -11 40716 1
12 -10 153792 -1
12 -9 48528 -1
12 -8 8640 1
12 -7 32940 -1
12 -6 126144 1
12 -5 40464 1
12 -4 2448 -1
12 -3 28620 -1
12 -2 112320 1
12 -1 111024 -1
12 0 576 1
12 1 27756 1
