# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 262144 --out data/m5/ne_cache_x262144.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 262144
# count 15936
# A B N eps
-37 -33 2771344 -1
-37 -32 1399712 -1
-37 -31 706660 1
-37 -30 2852992 -1
-37 -29 2878480 1
-37 -28 1451552 1
-37 -27 731716 -1
-37 -26 2949760 1
-37 -25 2971792 -1
-37 -24 1496480 1
-37 -23 753316 -1
-37 -22 3032704 -1
-37 -21 3051280 -1
-37 -20 1534496 -1
-37 -19 771460 1
-37 -18 3101824 1
-37 -17 3116944 1
-37 -16 313120 1
-37 -15 786148 1
-37 -14 3157120 1
-37 -13 3168784 -1
-37 -12 1589792 1
-37 -11 797380 1
-37 -10 3198592 1
-37 -9 641360 1
-37 -8 1607072 1
-37 -7 805156 -1
-37 -6 45440 -1
-37 -5 3230992 1
-37 -4 1617440 -1
-37 -3 809476 1
-37 -2 3240064 1
-37 -1 3241360 -1
-37 0 43808 -1
-37 1 810340 -1
-37 2 3240064 1
-37 3 3237904 1
-37 4 1617440 1
-37 5 807748 1
-37 6 45440 1
-37 7 3220624 -1
-37 8 1607072 1
-37 9 160340 1
-37 10 3198592 1
-37 11 3189520 1
-37 12 1589792 -1
-37 13 792196 -1
-37 14 3157120 1
-37 15 3144592 1
-37 16 313120 1
-37 17 779236 1
-37 18 3101824 1
-37 19 3085840 1
-37 20 1534496 1
-37 21 762820 -1
-37 22 3032704 -1
-37 23 3013264 -1
-37 24 1496480 1
-37 25 742948 -1
-37 26 2949760 1
-37 27 2926864 -1
-37 28 1451552 -1
-37 29 719620 1
-37 30 2852992 -1
-37 31 2826640 1
-37 32 1399712 -1
-37 33 692836 -1
-37 34 548480 -1
-37 35 2712592 -1
-37 36 78880 -1
-37 37 60236 1
-37 38 2617984 -1
-37 39 2584720 -1
-37 40 1275296 1
-37 41 125780 -1
-37 42 2479744 -1
-37 43 2443024 -1
-37 44 1202720 1
-37 45 591748 1
-37 46 2327680 -1
-37 47 2287504 -1
-37 48 1123232 -1
-37 49 551140 -1
-37 50 2161792 -1
-37 51 2118160 -1
-37 52 1036832 -1
-37 53 507076 1
-37 54 1982080 -1
-37 55 1934992 1
-37 56 943520 -1
-37 57 459556 1
-37 58 1788544 -1
-37 59 69520 1
-37 60 44384 1
-37 61 408580 1
-37 62 1581184 -1
-37 63 1527184 1
-37 64 736160 1
-37 65 354148 -1
-37 66 10880 1
-37 67 1302544 -1
-37 68 622112 -1
-37 69 296260 -1
-37 70 1124992 1
-37 71 1064080 -1
-37 72 501152 1
-37 73 234916 -1
-37 74 876160 -1
-37 75 811792 1
-37 76 373280 -1
-37 77 170116 1
-37 78 613504 1
-37 79 545680 1
-37 80 238496 1
-37 81 101860 -1
-37 82 337024 -1
-37 83 265744 1
-37 84 1760 -1
-37 85 30148 -1
-37 86 46720 -1
-37 87 28016 -1
-37 88 51808 1
-37 89 45020 -1
-37 90 257408 1
-37 91 67120 -1
-37 92 207328 1
-37 93 123644 1
-37 94 575360 -1
-37 95 657008 1
-37 96 369760 1
-37 97 205724 1
-37 98 907136 1
-36 -98 387648 -1
-36 -97 1078704 1
-36 -96 15552 1
-36 -95 228204 1
-36 -94 831168 -1
-36 -93 750384 -1
-36 -92 20952 1
-36 -91 1332 -1
-36 -90 57024 -1
-36 -89 145296 1
-36 -88 22464 -1
-36 -87 70956 -1
-36 -86 19008 1
-36 -85 135216 1
-36 -84 3888 -1
-36 -83 2484 1
-36 -82 27072 -1
-36 -81 1872 -1
-36 -80 1152 -1
-36 -79 72468 -1
-36 -78 357696 1
-36 -77 424656 -1
-36 -76 15336 -1
-36 -75 138996 -1
-36 -74 620352 -1
-36 -73 227952 1
-36 -72 5184 -1
-36 -71 67356 -1
-36 -70 869184 1
-36 -69 929232 1
-36 -68 61776 -1
-36 -67 261684 -1
-36 -66 1104192 -1
-36 -65 1160784 1
-36 -64 6336 -1
-36 -63 35316 -1
-36 -62 441792 1
-36 -61 1378512 1
-36 -60 44712 -1
-36 -59 370548 1
-36 -58 1532736 1
-36 -57 1582416 -1
-36 -56 101952 1
-36 -55 10764 1
-36 -54 21312 -1
-36 -53 590832 1
-36 -52 113616 -1
-36 -51 465588 1
-36 -50 1905984 1
-36 -49 1948752 1
-36 -48 31104 -1
-36 -47 507924 1
-36 -46 690624 -1
-36 -45 234576 -1
-36 -44 22392 -1
-36 -43 546804 -1
-36 -42 2223936 1
-36 -41 2259792 -1
-36 -40 143424 1
-36 -39 582228 1
-36 -38 2362176 1
-36 -37 798192 -1
-36 -36 16848 1
-36 -35 18612 -1
-36 -34 2486592 -1
-36 -33 2515536 1
-36 -32 39744 -1
-36 -31 642708 1
-36 -30 2597184 1
-36 -29 2622672 -1
-36 -28 27576 -1
-36 -27 8244 -1
-36 -26 897984 1
-36 -25 2715984 1
-36 -24 171072 1
-36 -23 689364 1
-36 -22 2776896 -1
-36 -21 2795472 1
-36 -20 175824 1
-36 -19 235836 1
-36 -18 316224 1
-36 -17 953712 1
-36 -16 44928 -1
-36 -15 722196 1
-36 -14 2901312 1
-36 -13 2912976 1
-36 -12 91368 1
-36 -11 733428 1
-36 -10 980928 1
-36 -9 327888 1
-36 -8 61632 1
-36 -7 741204 1
-36 -6 2970432 1
-36 -5 2975184 1
-36 -4 186192 1
-36 -3 745524 -1
-36 -2 2984256 1
-36 -1 995184 1
-36 0 576 -1
-36 1 248796 -1
-36 2 2984256 -1
-36 3 2982096 -1
-36 4 93096 1
-36 5 743796 1
-36 6 2970432 -1
-36 7 2964816 1
-36 8 61632 1
-36 9 81972 1
-36 10 980928 1
-36 11 2933712 1
-36 12 182736 -1
-36 13 728244 1
-36 14 2901312 -1
-36 15 2888784 1
-36 16 44928 1
-36 17 238428 -1
-36 18 316224 -1
-36 19 943344 -1
-36 20 87912 -1
-36 21 698868 1
-36 22 2776896 1
-36 23 2757456 1
-36 24 171072 -1
-36 25 678996 1
-36 26 897984 1
-36 27 32976 -1
-36 28 55152 1
-36 29 655668 -1
-36 30 2597184 -1
-36 31 2570832 1
-36 32 39744 -1
-36 33 628884 1
-36 34 2486592 1
-36 35 74448 -1
-36 36 8424 1
-36 37 199548 1
-36 38 2362176 -1
-36 39 2328912 1
-36 40 143424 -1
-36 41 564948 -1
-36 42 2223936 -1
-36 43 2187216 -1
-36 44 44784 -1
-36 45 58644 -1
-36 46 690624 -1
-36 47 2031696 1
-36 48 31104 1
-36 49 487188 1
-36 50 1905984 -1
-36 51 1862352 1
-36 52 56808 1
-36 53 147708 -1
-36 54 21312 1
-36 55 43056 -1
-36 56 101952 -1
-36 57 395604 -1
-36 58 1532736 -1
-36 59 1482192 1
-36 60 89424 -1
-36 61 344628 1
-36 62 441792 1
-36 63 141264 -1
-36 64 6336 1
-36 65 290196 1
-36 66 1104192 1
-36 67 1046736 -1
-36 68 30888 -1
-36 69 232308 1
-36 70 869184 -1
-36 71 269424 1
-36 72 5184 1
-36 73 56988 -1
-36 74 620352 1
-36 75 555984 -1
-36 76 30672 1
-36 77 106164 -1
-36 78 357696 -1
-36 79 289872 -1
-36 80 1152 -1
-36 81 468 -1
-36 82 27072 -1
-36 83 9936 1
-36 84 1944 -1
-36 85 33804 -1
-36 86 19008 -1
-36 87 283824 1
-36 88 22464 -1
-36 89 36324 1
-36 90 57024 -1
-36 91 5328 -1
-36 92 41904 -1
-36 93 187596 1
-36 94 831168 -1
-36 95 912816 -1
-36 96 15552 -1
-36 97 269676 -1
-36 98 387648 1
-35 -98 49 1
-35 -97 660344 -1
-35 -96 1237312 -1
-35 -95 1154800 -1
-35 -94 2096 -1
-35 -93 38168 -1
-35 -92 912448 1
-35 -91 833392 -1
-35 -90 47200 -1
-35 -89 338936 1
-35 -88 601408 -1
-35 -87 525808 1
-35 -86 28192 1
-35 -85 188600 -1
-35 -84 304192 1
-35 -83 232048 -1
-35 -82 1256 -1
-35 -81 45176 1
-35 -80 20800 -1
-35 -79 47888 -1
-35 -78 1808 1
-35 -77 91336 1
-35 -76 19136 -1
-35 -75 62800 1
-35 -74 23648 1
-35 -73 220936 -1
-35 -72 504512 1
-35 -71 566288 1
-35 -70 39200 1
-35 -69 343624 -1
